,Description,Processor,RAM,Operating System,Storage,Display,Warranty,Price,RAM_GB,DDR_Version,Processor Name,Processor Type,Generation,Operating System Type,Storage_GB,Disk Drive,Size(Inches),Company,Graphic Card,Touchscreen
0,HP Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 13-aw0204TU 2 in 1 Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,"₹1,02,990",8,4,Intel,i5,10,Windows,512,SSD,13.3,HP,No,Yes
1,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK178T Thin ...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹55,990",8,4,Intel,i5,8,Windows,512,SSD,14,Asus,Yes,No
2,Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),"₹56,990",8,4,Intel,i5,9,Windows,512,SSD,15.6,Acer,Yes,No
3,Asus VivoBook 14 Ryzen 5 Quad Core 2nd Gen - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK501T Thin and ...,AMD Ryzen 5 Quad Core Processor (2nd Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹42,990",8,4,AMD,Ryzen 5,2,Windows,512,SSD,14,Asus,No,No
4,HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-cs3010TU Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹52,990",8,4,Intel,i5,10,Windows,512,SSD,14,HP,No,No
5,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹59,990",8,4,Intel,i5,10,Windows,1000+256,Both,14,Asus,Yes,No
6,Asus VivoBook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹64,990",8,4,Intel,i5,9,Windows,1000+256,Both,15.6,Asus,Yes,No
7,Asus ROG Strix G15 Core i7 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹94,990",8,4,Intel,i7,10,Windows,1000,SSD,15.6,Asus,Yes,No
8,Asus VivoBook Gaming Core i7 9th Gen - (16 GB + 32 GB Optane/512 GB SSD/Windows 10 Home/4 GB Graphics/...,Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Limited International Hardware Warranty,"₹75,990",16,4,Intel,i7,9,Windows,512,SSD,15.6,Asus,Yes,No
9,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB039T Thin...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹53,990",8,4,Intel,i5,8,Windows,1000+256,Both,14,Asus,No,No
10,HP Pavilion x360 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14-dh1007TU 2 in 1 Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,"₹50,990",4,4,Intel,i3,10,Windows,256,SSD,14,HP,No,Yes
11,Dell G3 Core i7 9th Gen - (8 GB/1 TB HDD/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|512 GB SSD,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail","₹84,990",8,4,Intel,i7,9,Windows,512,Both,15.6,Dell,Yes,No
12,HP Pavilion Gaming Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹54,990",8,4,AMD,Ryzen 5,Not Mentioned,Windows,1000,HDD,15.6,HP,Yes,No
13,Asus ZenBook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) UX430UA-GV573T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹47,990",8,3,Intel,i5,8,Windows,256,SSD,14,Asus,No,No
14,Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-55G Thin and Ligh...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),"₹54,990",8,4,Intel,i5,8,Windows,512,SSD,14,Acer,Yes,No
15,Lenovo Thinkpad E14 Core i5 10th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home) E14 Thin and Light L...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹59,990",8,4,Intel,i5,10,Windows,1000+128,Both,14,Lenovo,No,No
16,Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ592T Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹52,990",8,4,Intel,i5,10,Windows,512,SSD,15.6,Asus,Yes,No
17,HP 14s Ryzen 5 Quad Core 3rd Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14s-dk0093AU Thin and Li...,AMD Ryzen 5 Quad Core Processor (3rd Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹46,990",8,4,AMD,Ryzen 5,3,Windows,1000+256,Both,14,HP,No,No
18,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹59,990",8,4,Intel,i5,10,Windows,1000+256,Both,14,Asus,Yes,No
19,Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ591T Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹52,990",8,4,Intel,i5,10,Windows,512,SSD,15.6,Asus,Yes,No
20,HP 14s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14S-ER0003TU Thin and Light Lapto...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹63,990",8,4,Intel,i5,10,Windows,1000+256,Both,14,HP,No,No
21,MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,"₹60,990",8,4,Intel,i5,9,Windows,512,SSD,15.6,MSI,Yes,No
22,Asus Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509FJ-EJ502T Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹59,990",8,4,Intel,i5,8,Windows,512,SSD,15.6,Asus,Yes,No
23,Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) SF313-51 Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,1 Year International Travelers Warranty (ITW),"₹54,990",8,4,Intel,i5,8,Windows,512,SSD,13.3,Acer,No,No
24,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) X412FA-EK295T Thin and Light Lapt...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹54,990",8,4,Intel,i5,8,Windows,512,SSD,14,Asus,No,No
25,Lenovo Ideapad S540 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S540-1...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹65,990",8,4,Intel,i5,10,Windows,1000+256,Both,15.6,Lenovo,Yes,No
26,HP Omen Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 1660 Ti)...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹85,990",8,4,AMD,Ryzen 5,Not Mentioned,Windows,512,SSD,15.6,HP,Yes,No
27,HP 15s Core i5 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du2077TU Laptop,Intel Core i5 Processor (10th Gen),4 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹52,490",4,4,Intel,i5,10,Windows,1000+256,Both,15.6,HP,No,No
28,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹78,990",8,4,Intel,i7,10,Windows,1000+256,Both,15.6,Lenovo,Yes,No
29,Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-55G Thin and Ligh...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),"₹54,990",8,4,Intel,i5,8,Windows,512,SSD,14,Acer,Yes,No
30,Acer Predator Helios 300 Core i7 8th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics/NV...,Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM,Windows,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),"₹89,990",16,4,Intel,i7,8,Windows,1000,Both,15.6,Acer,Yes,No
31,HP Pavilion x360 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14-dh1011TU 2 in 1 Lapt...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,"₹73,990",8,4,Intel,i5,10,Windows,1000+256,Both,14,HP,No,Yes
32,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹59,990",8,4,Intel,i5,10,Windows,1000+256,Both,14,Asus,Yes,No
33,Asus ZenBook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) UX430UA-GV573T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,Windows,256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹47,990",8,3,Intel,i5,8,Windows,256,SSD,14,Asus,No,No
34,Apple MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/512 GB SSD/Mac OS Catalina) MWP42HN/A,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,Mac,512 GB SSD,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,"₹1,74,900",16,4,Intel,i5,10,Mac,512,SSD,13,Apple,No,No
35,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) X412FA-EK230T Thin and Light Lapt...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹54,990",8,4,Intel,i5,8,Windows,512,SSD,14,Asus,No,No
36,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK512T Thin and ...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹55,990",8,4,Intel,i5,10,Windows,1000+256,Both,14,Asus,No,No
37,Acer Aspire 7 Ryzen 7 Quad Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 16...,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),"₹61,990",8,4,AMD,Ryzen 7,Not Mentioned,Windows,512,SSD,15.6,Acer,Yes,No
38,Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 81VV ideapad S340 -1...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹56,990",8,4,Intel,i5,10,Windows,1000+256,Both,14,Lenovo,No,No
39,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹82,990",8,4,Intel,i7,10,Windows,1000+256,Both,15.6,Lenovo,Yes,No
40,Dell Inspiron Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Inspiron 5491 2 in 1 Lapto...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Touchscreen Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail","₹59,437",4,4,Intel,i3,10,Windows,1000+256,Both,14,Dell,No,Yes
41,Asus VivoBook 15 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) X543UB-DM581T Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Limited International Hardware Warranty,"₹44,760",8,4,Intel,i5,8,Windows,1000,HDD,15.6,Asus,Yes,No
42,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK178T Thin ...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹55,990",8,4,Intel,i5,8,Windows,512,SSD,14,Asus,Yes,No
43,MSI GF65 Thin Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 166...,Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,2 Year Carry In Warranty,"₹99,990",16,4,Intel,i7,9,Windows,512,SSD,15.6,MSI,Yes,No
44,Lenovo Ideapad S145 Core i3 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IKB Laptop,Intel Core i3 Processor (8th Gen),8 GB DDR4 RAM,Windows,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹45,990",8,4,Intel,i3,8,Windows,1000,HDD,15.6,Lenovo,No,No
45,Asus VivoBook Flip 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) TP412FA-EC371TS 2 in 1 Lapt...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,"₹51,990",4,4,Intel,i3,10,Windows,512,SSD,14,Asus,No,Yes
46,HP 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15-db 1059AU Laptop,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,Windows,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹33,250",4,4,AMD,Ryzen 3,Not Mentioned,Windows,1000,HDD,15.6,HP,No,No
47,Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,Intel Core i5 Processor (5th Gen),8 GB DDR3 RAM,Mac,128 GB SSD,33.78 cm (13.3 inch) Display,1 Year Carry In Warranty,"₹74,397",8,3,Intel,i5,5,Mac,128,SSD,13.3,Apple,No,No
48,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK176T Thin ...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹55,990",8,4,Intel,i5,8,Windows,512,SSD,14,Asus,Yes,No
49,HP 15s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-du2078TU Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹52,990",8,4,Intel,i5,10,Windows,1000+256,Both,15.6,HP,No,No
50,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹82,990",8,4,Intel,i7,10,Windows,512,SSD,15.6,Lenovo,Yes,No
51,HP Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 13-aw0204TU 2 in 1 Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,"₹1,02,990",8,4,Intel,i5,10,Windows,1000+256,Both,13.3,HP,No,Yes
52,Microsoft Surface Laptop 3 Core i5 10th Gen - (8 GB/128 GB SSD/Windows 10 Home) 1867 Laptop,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,Windows,128 GB SSD,34.29 cm (13.5 inch) Touchscreen Display,1 Year Limited Hardware Warranty,"₹96,657",8,4,Intel,i5,10,Windows,1000+256,Both,13,Microsoft,No,Yes
53,HP 14s Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-dr1006TU Thin and Light Laptop,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹72,990",8,4,Intel,i7,10,Windows,512,SSD,14,HP,No,No
54,Asus VivoBook Flip 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) TP412FA-EC371TS 2 in 1 Lapt...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,"₹51,990",4,4,Intel,i3,10,Windows,1000+128,Both,14,Asus,No,Yes
55,Asus ZenBook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) UX430UA-GV372T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,Windows,256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹54,990",8,3,Intel,i5,8,Windows,1000+256,Both,14,Asus,No,No
