,Description,Processor,RAM,Operating System,Storage,Display,Warranty,Price,RAM_GB,DDR_Version,Processor Name,Processor Type,Generation,Operating System Type,Storage_GB,Disk Drive,Size(Inches),Company,Graphic Card,Touchscreen,SSD,HDD
56,Acer NITRO 5 Core i7 9th Gen - (8 GB/2 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce ...,Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,Windows,2 TB HDD|256 GB SSD,43.94 cm (17.3 inch) Display,1 Year International Warranty,96990.0,8,4,Intel,i7,9,Windows,1000+256,Both,17.3,Acer,Yes,No,256 ,2000
57,Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) X409JA-EK591T Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,56990.0,8,4,Intel,i5,10,Windows,256,SSD,14.0,Asus,No,No,512 ,0
58,Lenovo Ideapad S145 Core i3 8th Gen - (4 GB/1 TB HDD/DOS) S145-15IKB Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,DOS,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,29990.0,4,4,Intel,i3,8,DOS,512,SSD,15.6,Lenovo,No,No,1 TB HDD,0
59,MarQ by Flipkart Falkon Aerbook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) MAi5882SWT Thin an...,8th Gen Intel Core i5 for superior computing,8 GB RAM,Windows,256 GB SSD,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty Commencing from the Date of Purchase,41990.0,8,0,Intel,i5,0,Windows,512,SSD,13.3,MarQ,No,No,256 ,0
60,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB031T Thin...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,53990.0,8,4,Intel,i5,8,Windows,1000+256,Both,14.0,Asus,No,No,256 ,1000
61,Apple MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVJ2HN/A,Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,Mac,512 GB SSD,40.64 cm (16 inch) Display,1 Year Onsite Warranty,199900.0,16,4,Intel,i7,9,Mac,512,SSD,16.0,Apple,Yes,No,512 ,0
62,Acer Swift 5 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) SF514-52T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,Windows,256 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year International Travelers Warranty (ITW),64990.0,8,3,Intel,i5,8,Windows,1000+256,Both,14.0,Acer,No,Yes,256 ,0
63,HP Omen Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Ti)...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,75990.0,8,4,AMD,Ryzen 5,0,Windows,1000+256,Both,15.6,HP,Yes,No,512 ,0
64,HP 15s Ryzen 7 Quad Core - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0132AU Thin and Light Laptop,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,57990.0,8,4,AMD,Ryzen 7,0,Windows,1000+256,Both,15.6,HP,No,No,512 ,0
65,Acer Swift 3 Core i3 8th Gen - (4 GB/256 GB SSD/Windows 10 Home) SF313-51-30EP Thin and Light Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,Windows,256 GB SSD,33.78 cm (13.3 inch) Display,1 Year International Travelers Warranty (ITW),45990.0,4,4,Intel,i3,8,Windows,1000,HDD,13.3,Acer,No,No,256 ,0
66,Microsoft Surface Pro X SQ1 Octa Core - (8 GB/128 GB SSD/Windows 10 Home) M1876 Laptop,Microsoft SQ1 Octa Core Processor,8 GB LPDDR4X RAM,Windows,128 GB SSD,33.02 cm (13 inch) Touchscreen Display,1 Year Limited Hardware Warranty,96657.0,8,4,Microsoft,SQ1,0,Windows,512,SSD,13.0,Microsoft,No,Yes,128 ,0
67,Apple MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP52HN/A,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,Mac,1 TB SSD,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,194900.0,16,4,Intel,i5,10,Mac,512,SSD,13.0,Apple,No,No,1 ,0
68,HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/3 GB Graphics/NVIDIA G...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,Windows,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,51990.0,8,4,AMD,Ryzen 5,0,Windows,1000,HDD,15.6,HP,Yes,No,128 ,1000
69,HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-cs3010TU Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,52990.0,8,4,Intel,i5,10,Windows,512,SSD,14.0,HP,No,No,1 TB HDD,0
70,HP 15 Core i3 8th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15-Di0000TX Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,Windows,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,37990.0,4,4,Intel,i3,8,Windows,1000,HDD,15.6,HP,Yes,No,1 TB HDD,0
71,Lenovo Ideapad L340 Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,73990.0,8,4,Intel,i7,9,Windows,1000+128,Both,15.6,Lenovo,Yes,No,256 ,1000
72,HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/3 GB Graphics/NVIDIA G...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,51990.0,8,4,AMD,Ryzen 5,0,Windows,1000+128,Both,14.0,HP,Yes,No,128 ,1000
73,HP Spectre x360 Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Pro) 13-aw0188TU 2 in 1 Laptop,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,175200.0,16,4,Intel,i7,10,Windows,1000,SSD,15.6,HP,No,No,1 ,0
74,Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 81W8 Ideapad S145-15...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,49990.0,8,4,Intel,i5,10,Windows,1000+256,Both,15.6,Lenovo,No,No,256 ,1000
75,Acer Nitro 5 Core i7 8th Gen - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),69990.0,8,4,Intel,i7,8,Windows,1000,HDD,15.6,Acer,Yes,No,1 TB HDD,0
76,Lenovo Ideapad 330 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 330-15IKB Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,43990.0,4,4,Intel,i3,7,Windows,1000,HDD,15.6,Lenovo,No,No,1 TB HDD,0
77,Asus ZenBook Flip 14 Ryzen 7 Quad Core 2nd Gen - (8 GB/512 GB SSD/Windows 10 Home) UM462DA-AI701TS 2 i...,AMD Ryzen 7 Quad Core Processor (2nd Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Limited International Hardware Warranty,74910.0,8,4,AMD,Ryzen 7,2,Windows,512,SSD,14.0,Asus,No,No,512 ,0
78,Lenovo Ideapad S145 Core i3 8th Gen - (4 GB/1 TB HDD/DOS) S145-15IKB Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,DOS Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,29990.0,4,4,Intel,i3,8,DOS,1000,HDD,15.6,Lenovo,No,No,1 TB HDD,0
79,HP 15s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15s-du2058TU Thin and Light Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,37690.0,4,4,Intel,i3,10,Windows,1000,HDD,14.0,HP,No,Yes,1 TB HDD,0
80,Asus VivoBook 14 APU Quad Core A12 - (4 GB/1 TB HDD/Windows 10 Home) X411QA-EK002T Thin and Light Lapt...,AMD APU Quad Core A12 Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,1 Year Limited Hardware Warranty,26990.0,4,4,AMD,APU,0,Windows,1000,HDD,14.0,Asus,No,No,1 TB HDD,0
81,Acer One 14 Pentium Dual Core - (4 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop,Intel Pentium Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),27420.0,4,4,Intel,Pentium,0,Windows,1000,HDD,14.0,Acer,No,No,1 TB HDD,0
82,HP 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15-db1069AU Laptop,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,29990.0,4,4,AMD,Ryzen 3,0,Windows,1000,HDD,13.0,HP,No,No,1 TB HDD,0
83,Lenovo Ideapad S340 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S340-14IIL Thin and Light Lapto...,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,40990.0,8,4,Intel,i3,10,Windows,1000,HDD,14.0,Lenovo,No,No,1 TB HDD,0
84,Dell Vostro Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 14 3491 Thin and Ligh...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",53859.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,Dell,No,No,256 ,1000
85,HP Pavilion x360 Core i3 8th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14-dh0107TU 2 in 1 Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,48240.0,4,4,Intel,i3,8,Windows,256,SSD,15.6,HP,No,No,256 ,0
86,Avita Liber Core i5 7th Gen - (8 GB/128 GB SSD/Windows 10 Home) NS14A1IN501P Thin and Light Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,128 GB SSD,35.56 cm (14 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com),41990.0,8,3,Intel,i5,7,Windows,128,SSD,14.0,Avita,No,No,128 ,0
87,HP Pavilion Gaming Ryzen 5 Quad Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce G...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,59990.0,8,4,AMD,Ryzen 5,0,Windows,512,SSD,15.6,HP,Yes,No,512 ,0
88,Asus ZenBook Duo Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) UX481FL-B5811T Thi...,Intel Core i5 Processor (10th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,99990.0,8,3,Intel,i5,10,Windows,512,SSD,14.0,Asus,Yes,Yes,512 ,0
89,HP 15s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-dy2008TU Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,53990.0,8,4,Intel,i5,10,Windows,1000+256,Both,15.6,HP,No,No,256 ,1000
90,HP 15s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-du2078TU Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,52990.0,8,4,Intel,i5,10,Windows,512,SSD,14.0,HP,No,No,512 ,0
91,Apple MacBook Core m3 7th Gen - (8 GB/256 GB SSD/Mac OS Sierra) MNYH2HN/A,Intel Core m3 Processor (7th Gen),8 GB DDR3 RAM,64 bit Mac OS Operating System,256 GB SSD,30.48 cm (12 inch) Display,1 Year Warranty,112990.0,8,3,Intel,m3,7,Mac,256,SSD,15.6,Apple,No,No,256 ,0
92,Asus ZenBook Pro Duo Core i9 9th Gen - (32 GB/1 TB SSD/Windows 10 Home/6 GB Graphics) UX581GV-H2041T L...,Intel Core i9 Processor (9th Gen),32 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Touchscreen Display,1 Year Onsite Warranty,244191.0,32,4,Intel,i9,9,Windows,1000,SSD,15.6,Asus,Yes,No,1 ,0
93,HP 14s Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14s-cf3047TU Thin and Light Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,34490.0,4,4,Intel,i3,10,Windows,256,SSD,14.0,HP,No,Yes,256 ,0
94,Lenovo Ideapad 3 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14IIL05 Thin and Light Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,32990.0,4,4,Intel,i3,10,Windows,1000,HDD,15.6,Lenovo,No,No,1 TB HDD,0
95,Asus Vivobook 15 Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X512FL-EJ702T Thin ...,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,72990.0,8,4,Intel,i7,8,Windows,512,SSD,13.3,Asus,Yes,No,512 ,0
96,Lenovo Ideapad 720S Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) 720S-13IKB Thin and Light Lapt...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,83458.0,8,4,Intel,i5,8,Windows,512,SSD,13.3,Lenovo,No,No,512 ,0
97,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du2002TU Thin and Light Laptop,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,46850.0,8,4,Intel,i3,10,Windows,1000,HDD,15.6,HP,No,No,1 TB HDD,0
98,Apple MacBook Pro Core i9 9th Gen - (16 GB/1 TB SSD/Mac OS Catalina/4 GB Graphics) MVVK2HN/A,Intel Core i9 Processor (9th Gen),16 GB DDR4 RAM,Mac OS Operating System,1 TB SSD,40.64 cm (16 inch) Display,1 Year Onsite Warranty,239900.0,16,4,Intel,i9,9,Mac,1000,SSD,16.0,Apple,Yes,No,1 ,0
99,HP Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 13-aw0204TU 2 in 1 Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,102990.0,8,4,Intel,i5,10,Windows,512,SSD,13.3,HP,No,Yes,512 ,0
100,Asus ZenBook 13 Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX333FA-A4116T Thin and Light Lapt...,Intel Core i7 Processor (8th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,81351.0,8,3,Intel,i7,8,Windows,512,SSD,13.3,Asus,No,No,512 ,0
101,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK513T Thin and ...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,55990.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,Asus,No,No,256 ,1000
102,Lenovo Ideapad 520 Core i5 8th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 520-15IKB Laptop,Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,55139.0,4,4,Intel,i5,8,Windows,1000,HDD,15.6,Lenovo,Yes,No,1 TB HDD,0
103,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK178T Thin ...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,55990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Asus,Yes,No,512 ,0
104,Alienware 17 Core i7 8th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 10 Home/8 GB Graphics/NVIDIA Geforce...,Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|512 GB SSD,43.94 cm (17.3 inch) Display,1 Year Onsite Warranty,189990.0,16,4,Intel,i7,8,Windows,1000+512,Both,17.3,Alienware,Yes,No,512 ,1000
105,Microsoft Surface Go Pentium Gold - (4 GB/64 GB EMMC Storage/Windows 10 Home in S Mode) 1824 2 in 1 La...,Intel Pentium Gold Processor,4 GB DDR3 RAM,64 bit Windows 10 Operating System,128 GB SSD,25.4 cm (10 inch) Touchscreen Display,1 Year Limited Hardware Warranty,38599.0,4,3,Intel,Pentium,0,Windows,128,SSD,10.0,Microsoft,No,Yes,128 ,0
106,Microsoft Surface Laptop 3 Ryzen 5 Quad Core - (8 GB/128 GB SSD/Windows 10 Home) 1873 Laptop,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,128 GB SSD,38.1 cm (15 inch) Touchscreen Display,1 Year Limited Hardware Warranty,93999.0,8,4,AMD,Ryzen 5,0,Windows,128,SSD,15.0,Microsoft,No,Yes,128 ,0
107,Asus VivoBook 15 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X512DA-EJ1298TS Thin a...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,47990.0,8,4,AMD,Ryzen 5,0,Windows,1000+256,Both,15.6,Asus,No,No,256 ,1000
108,Asus VivoBook 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412FA-EK363T Thin and Light Lap...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,35990.0,4,4,Intel,i3,10,Windows,256,SSD,14.0,Asus,No,No,256 ,0
109,Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-55G Thin and Ligh...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),54990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Acer,Yes,No,512 ,0
110,Lenovo Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 130-15IKB Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,32990.0,4,4,Intel,i3,7,Windows,1000,HDD,15.6,Lenovo,No,No,1 TB HDD,0
111,HP 15s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15s-du2009TU Thin and Light Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,39990.0,4,4,Intel,i3,10,Windows,1000,HDD,15.6,HP,No,No,1 TB HDD,0
112,Asus VivoBook 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412FA-EK362T Thin and Light Lap...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,35990.0,4,4,Intel,i3,10,Windows,256,SSD,14.0,Asus,No,No,256 ,0
